CPIAUCSL,CPILFESL,PCEPI,PCEPILFE,WPSFD49207,MICH,PPIFGS,CPIENGSL,CPIFABSL
234.747,239.811,96.654,96.214,193.3,2.5,192.9,199.926,245.764
234.76619354838712,239.82264516129032,96.65951612903226,96.21754838709677,193.30645161290323,2.509677419354839,192.90322580645162,200.0258387096774,245.77341935483872
234.7853870967742,239.83429032258064,96.66503225806451,96.22109677419354,193.31290322580645,2.5193548387096776,192.90645161290323,200.12567741935482,245.78283870967743
234.8045806451613,239.84593548387096,96.67054838709677,96.22464516129033,193.3193548387097,2.529032258064516,192.90967741935484,200.22551612903226,245.79225806451615
234.8237741935484,239.8575806451613,96.67606451612903,96.2281935483871,193.32580645161292,2.5387096774193547,192.91290322580645,200.32535483870967,245.80167741935486
234.8429677419355,239.86922580645162,96.68158064516129,96.23174193548387,193.33225806451614,2.5483870967741935,192.91612903225806,200.42519354838709,245.81109677419357
234.8621612903226,239.88087096774194,96.68709677419355,96.23529032258064,193.33870967741936,2.5580645161290323,192.9193548387097,200.5250322580645,245.82051612903226
234.88135483870968,239.89251612903226,96.69261290322581,96.23883870967742,193.34516129032258,2.567741935483871,192.9225806451613,200.6248709677419,245.82993548387097
234.9005483870968,239.90416129032258,96.69812903225807,96.2423870967742,193.35161290322583,2.5774193548387094,192.9258064516129,200.72470967741936,245.83935483870968
234.9197419354839,239.9158064516129,96.70364516129032,96.24593548387097,193.35806451612905,2.587096774193548,192.92903225806452,200.82454838709677,245.8487741935484
234.93893548387098,239.92745161290324,96.70916129032258,96.24948387096774,193.36451612903227,2.596774193548387,192.93225806451613,200.92438709677418,245.8581935483871
234.95812903225809,239.93909677419356,96.71467741935484,96.25303225806451,193.3709677419355,2.606451612903226,192.93548387096774,201.0242258064516,245.86761290322582
234.97732258064516,239.95074193548388,96.7201935483871,96.25658064516129,193.3774193548387,2.6161290322580646,192.93870967741935,201.124064516129,245.87703225806453
234.99651612903227,239.9623870967742,96.72570967741936,96.26012903225806,193.38387096774196,2.625806451612903,192.94193548387096,201.22390322580645,245.88645161290324
235.01570967741938,239.9740322580645,96.73122580645162,96.26367741935483,193.39032258064518,2.6354838709677417,192.94516129032257,201.32374193548387,245.89587096774196
235.03490322580646,239.98567741935483,96.73674193548388,96.2672258064516,193.3967741935484,2.6451612903225805,192.94838709677418,201.42358064516128,245.90529032258067
235.05409677419357,239.99732258064518,96.74225806451612,96.27077419354839,193.40322580645162,2.6548387096774193,192.95161290322582,201.5234193548387,245.91470967741935
235.07329032258065,240.0089677419355,96.74777419354838,96.27432258064516,193.40967741935484,2.664516129032258,192.95483870967743,201.6232580645161,245.92412903225807
235.09248387096775,240.0206129032258,96.75329032258064,96.27787096774193,193.41612903225806,2.6741935483870964,192.95806451612904,201.72309677419352,245.93354838709678
235.11167741935486,240.03225806451613,96.7588064516129,96.2814193548387,193.4225806451613,2.6838709677419352,192.96129032258065,201.82293548387096,245.9429677419355
235.13087096774194,240.04390322580645,96.76432258064516,96.28496774193549,193.42903225806452,2.693548387096774,192.96451612903226,201.92277419354838,245.9523870967742
235.15006451612905,240.05554838709676,96.76983870967742,96.28851612903226,193.43548387096774,2.703225806451613,192.96774193548387,202.0226129032258,245.96180645161292
235.16925806451613,240.0671935483871,96.77535483870967,96.29206451612903,193.44193548387096,2.7129032258064516,192.97096774193548,202.1224516129032,245.97122580645163
235.18845161290324,240.07883870967743,96.78087096774193,96.2956129032258,193.44838709677418,2.7225806451612904,192.9741935483871,202.22229032258062,245.98064516129034
235.20764516129034,240.09048387096774,96.78638709677419,96.29916129032257,193.45483870967743,2.7322580645161287,192.9774193548387,202.32212903225806,245.99006451612905
235.22683870967742,240.10212903225806,96.79190322580645,96.30270967741936,193.46129032258065,2.7419354838709675,192.9806451612903,202.42196774193548,245.99948387096777
235.24603225806453,240.11377419354838,96.79741935483871,96.30625806451613,193.46774193548387,2.7516129032258063,192.98387096774195,202.5218064516129,246.00890322580645
235.26522580645164,240.1254193548387,96.80293548387097,96.3098064516129,193.4741935483871,2.761290322580645,192.98709677419356,202.6216451612903,246.01832258064516
235.28441935483872,240.13706451612904,96.80845161290323,96.31335483870967,193.4806451612903,2.7709677419354835,192.99032258064517,202.72148387096772,246.02774193548387
235.30361290322583,240.14870967741936,96.81396774193549,96.31690322580646,193.48709677419356,2.7806451612903222,192.99354838709678,202.82132258064516,246.0371612903226
235.3228064516129,240.16035483870968,96.81948387096774,96.32045161290323,193.49354838709678,2.790322580645161,192.9967741935484,202.92116129032257,246.0465806451613
235.342,240.172,96.825,96.324,193.5,2.8,193.0,203.021,246.056
235.36464285714288,240.19282142857142,96.83153571428572,96.32921428571429,193.525,2.807142857142857,193.0107142857143,203.11871428571428,246.04275
235.38728571428572,240.21364285714284,96.83807142857142,96.33442857142857,193.55,2.814285714285714,193.02142857142857,203.21642857142857,246.0295
235.4099285714286,240.2344642857143,96.84460714285714,96.33964285714285,193.575,2.821428571428571,193.03214285714284,203.31414285714285,246.01625
235.43257142857144,240.25528571428572,96.85114285714286,96.34485714285714,193.6,2.8285714285714283,193.04285714285714,203.41185714285714,246.00300000000001
235.4552142857143,240.27610714285714,96.85767857142858,96.35007142857143,193.625,2.8357142857142854,193.05357142857144,203.5095714285714,245.98975000000002
235.47785714285715,240.29692857142857,96.86421428571428,96.35528571428571,193.65,2.8428571428571425,193.06428571428572,203.6072857142857,245.97650000000002
235.50050000000002,240.31775,96.87075,96.3605,193.675,2.8499999999999996,193.075,203.70499999999998,245.96325000000002
235.52314285714286,240.3385714285714,96.87728571428572,96.36571428571429,193.7,2.857142857142857,193.0857142857143,203.80271428571427,245.95000000000002
235.54578571428573,240.35939285714286,96.88382142857142,96.37092857142856,193.725,2.8642857142857143,193.0964285714286,203.90042857142856,245.93675000000002
235.56842857142857,240.3802142857143,96.89035714285714,96.37614285714285,193.75,2.8714285714285714,193.10714285714286,203.99814285714285,245.92350000000002
235.59107142857144,240.4010357142857,96.89689285714286,96.38135714285714,193.775,2.8785714285714286,193.11785714285713,204.09585714285714,245.91025000000002
235.61371428571428,240.42185714285714,96.90342857142858,96.38657142857143,193.79999999999998,2.8857142857142857,193.12857142857143,204.19357142857143,245.89700000000002
235.63635714285715,240.44267857142856,96.90996428571428,96.39178571428572,193.825,2.892857142857143,193.13928571428573,204.29128571428572,245.88375000000002
235.659,240.4635,96.9165,96.39699999999999,193.85,2.9,193.15,204.389,245.8705
235.68164285714286,240.48432142857143,96.92303571428572,96.40221428571428,193.875,2.907142857142857,193.16071428571428,204.48671428571427,245.85725
235.70428571428573,240.50514285714286,96.92957142857142,96.40742857142857,193.9,2.914285714285714,193.17142857142858,204.58442857142856,245.844
235.72692857142857,240.52596428571428,96.93610714285714,96.41264285714286,193.92499999999998,2.9214285714285713,193.18214285714288,204.68214285714285,245.83075
235.74957142857144,240.5467857142857,96.94264285714286,96.41785714285714,193.95,2.9285714285714284,193.19285714285715,204.77985714285714,245.8175
235.77221428571428,240.56760714285713,96.94917857142858,96.42307142857143,193.975,2.9357142857142855,193.20357142857142,204.87757142857143,245.80425
235.79485714285715,240.58842857142858,96.95571428571428,96.4282857142857,194.0,2.9428571428571426,193.21428571428572,204.97528571428572,245.791
235.8175,240.60925,96.96225,96.4335,194.02499999999998,2.95,193.22500000000002,205.073,245.77775
235.84014285714287,240.63007142857143,96.96878571428572,96.43871428571428,194.04999999999998,2.9571428571428573,193.2357142857143,205.1707142857143,245.7645
235.8627857142857,240.65089285714285,96.97532142857142,96.44392857142857,194.075,2.9642857142857144,193.24642857142857,205.2684285714286,245.75125
235.88542857142858,240.67171428571427,96.98185714285714,96.44914285714286,194.1,2.9714285714285715,193.25714285714287,205.36614285714285,245.738
235.90807142857142,240.6925357142857,96.98839285714286,96.45435714285715,194.125,2.9785714285714286,193.26785714285717,205.46385714285714,245.72475
235.9307142857143,240.71335714285715,96.99492857142857,96.45957142857142,194.14999999999998,2.9857142857142858,193.27857142857144,205.56157142857143,245.7115
235.95335714285713,240.73417857142857,97.00146428571428,96.46478571428571,194.17499999999998,2.992857142857143,193.2892857142857,205.65928571428572,245.69825
235.976,240.755,97.008,96.47,194.2,3.0,193.3,205.757,245.685
235.98393548387097,240.77406451612902,97.01077419354839,96.47574193548387,194.15806451612903,2.9870967741935486,193.26451612903227,205.68667741935485,245.68274193548388
235.99187096774193,240.79312903225807,97.01354838709678,96.48148387096774,194.11612903225804,2.9741935483870967,193.22903225806454,205.61635483870967,245.68048387096775
235.9998064516129,240.81219354838709,97.01632258064515,96.4872258064516,194.0741935483871,2.9612903225806453,193.1935483870968,205.5460322580645,245.67822580645162
236.00774193548386,240.83125806451613,97.01909677419354,96.49296774193549,194.03225806451613,2.9483870967741934,193.15806451612903,205.47570967741936,245.6759677419355
236.01567741935483,240.85032258064516,97.02187096774193,96.49870967741936,193.99032258064514,2.935483870967742,193.1225806451613,205.4053870967742,245.67370967741937
236.0236129032258,240.8693870967742,97.02464516129032,96.50445161290322,193.94838709677418,2.9225806451612906,193.08709677419355,205.33506451612902,245.67145161290324
236.03154838709676,240.88845161290322,97.0274193548387,96.5101935483871,193.90645161290323,2.9096774193548387,193.05161290322582,205.26474193548387,245.6691935483871
236.03948387096776,240.90751612903225,97.03019354838709,96.51593548387096,193.86451612903224,2.8967741935483873,193.01612903225808,205.19441935483871,245.66693548387096
236.04741935483872,240.9265806451613,97.03296774193548,96.52167741935483,193.82258064516128,2.8838709677419354,192.98064516129034,205.12409677419356,245.66467741935483
236.0553548387097,240.94564516129032,97.03574193548387,96.52741935483871,193.78064516129032,2.870967741935484,192.94516129032257,205.05377419354838,245.6624193548387
236.06329032258066,240.96470967741936,97.03851612903226,96.53316129032258,193.73870967741934,2.858064516129032,192.90967741935484,204.98345161290322,245.66016129032258
236.07122580645162,240.98377419354838,97.04129032258064,96.53890322580645,193.69677419354838,2.8451612903225807,192.8741935483871,204.91312903225807,245.65790322580645
236.0791612903226,241.0028387096774,97.04406451612903,96.54464516129032,193.65483870967742,2.8322580645161293,192.83870967741936,204.84280645161292,245.65564516129032
236.08709677419355,241.02190322580645,97.04683870967742,96.55038709677419,193.61290322580643,2.8193548387096774,192.80322580645162,204.77248387096773,245.6533870967742
236.09503225806452,241.04096774193548,97.0496129032258,96.55612903225806,193.57096774193548,2.806451612903226,192.76774193548388,204.70216129032258,245.65112903225807
236.1029677419355,241.06003225806452,97.05238709677418,96.56187096774194,193.52903225806452,2.793548387096774,192.73225806451612,204.63183870967742,245.64887096774194
236.11090322580645,241.07909677419354,97.05516129032257,96.56761290322581,193.48709677419356,2.7806451612903227,192.69677419354838,204.56151612903227,245.64661290322582
236.11883870967742,241.0981612903226,97.05793548387096,96.57335483870968,193.44516129032257,2.767741935483871,192.66129032258064,204.4911935483871,245.6443548387097
236.12677419354839,241.11722580645161,97.06070967741935,96.57909677419354,193.40322580645162,2.7548387096774194,192.6258064516129,204.42087096774193,245.64209677419356
236.13470967741935,241.13629032258063,97.06348387096773,96.58483870967741,193.36129032258066,2.741935483870968,192.59032258064516,204.35054838709678,245.63983870967743
236.14264516129032,241.15535483870968,97.06625806451612,96.59058064516128,193.31935483870967,2.729032258064516,192.55483870967743,204.28022580645163,245.6375806451613
236.15058064516128,241.1744193548387,97.06903225806451,96.59632258064516,193.2774193548387,2.7161290322580647,192.51935483870966,204.20990322580644,245.63532258064518
236.15851612903225,241.19348387096775,97.0718064516129,96.60206451612903,193.23548387096776,2.703225806451613,192.48387096774192,204.1395806451613,245.63306451612905
236.16645161290324,241.21254838709677,97.07458064516129,96.6078064516129,193.19354838709677,2.6903225806451614,192.44838709677418,204.06925806451613,245.6308064516129
236.1743870967742,241.2316129032258,97.07735483870967,96.61354838709677,193.1516129032258,2.67741935483871,192.41290322580645,203.99893548387098,245.62854838709677
236.18232258064518,241.25067741935484,97.08012903225806,96.61929032258064,193.10967741935485,2.664516129032258,192.3774193548387,203.9286129032258,245.62629032258064
236.19025806451614,241.26974193548386,97.08290322580645,96.62503225806451,193.06774193548387,2.6516129032258067,192.34193548387097,203.85829032258064,245.62403225806452
236.1981935483871,241.2888064516129,97.08567741935484,96.63077419354839,193.0258064516129,2.638709677419355,192.3064516129032,203.7879677419355,245.6217741935484
236.20612903225808,241.30787096774193,97.08845161290321,96.63651612903226,192.98387096774195,2.6258064516129034,192.27096774193546,203.71764516129033,245.61951612903226
236.21406451612904,241.32693548387098,97.0912258064516,96.64225806451613,192.94193548387096,2.612903225806452,192.23548387096773,203.64732258064515,245.61725806451614
236.222,241.346,97.094,96.648,192.9,2.6,192.2,203.577,245.615
236.24796666666668,241.3574,97.10176666666666,96.65193333333333,192.97333333333333,2.606666666666667,192.30666666666664,203.75686666666667,245.62403333333333
236.27393333333333,241.3688,97.10953333333333,96.65586666666667,193.04666666666668,2.6133333333333333,192.41333333333333,203.93673333333334,245.63306666666668
236.2999,241.3802,97.1173,96.65979999999999,193.12,2.62,192.51999999999998,204.1166,245.6421
236.32586666666668,241.3916,97.12506666666665,96.66373333333333,193.19333333333333,2.626666666666667,192.62666666666667,204.29646666666667,245.65113333333335
236.35183333333333,241.403,97.13283333333332,96.66766666666666,193.26666666666668,2.6333333333333333,192.73333333333332,204.47633333333334,245.66016666666667
236.3778,241.4144,97.14059999999999,96.6716,193.34,2.64,192.84,204.6562,245.66920000000002
236.40376666666668,241.4258,97.14836666666666,96.67553333333333,193.41333333333333,2.6466666666666665,192.94666666666666,204.83606666666668,245.67823333333334
236.42973333333333,241.4372,97.15613333333333,96.67946666666667,193.48666666666668,2.6533333333333333,193.0533333333333,205.01593333333332,245.68726666666666
236.4557,241.4486,97.1639,96.6834,193.56,2.66,193.16,205.1958,245.6963
236.48166666666668,241.46,97.17166666666667,96.68733333333333,193.63333333333333,2.6666666666666665,193.26666666666665,205.37566666666666,245.70533333333333
236.50763333333333,241.4714,97.17943333333334,96.69126666666666,193.70666666666668,2.6733333333333333,193.37333333333333,205.55553333333333,245.71436666666668
236.5336,241.4828,97.18719999999999,96.6952,193.78,2.68,193.48,205.7354,245.7234
236.55956666666668,241.4942,97.19496666666666,96.69913333333334,193.85333333333332,2.6866666666666665,193.58666666666667,205.91526666666667,245.73243333333335
236.58553333333333,241.5056,97.20273333333333,96.70306666666667,193.92666666666668,2.6933333333333334,193.69333333333333,206.09513333333334,245.74146666666667
236.6115,241.517,97.2105,96.707,194.0,2.7,193.8,206.275,245.7505
236.63746666666668,241.5284,97.21826666666666,96.71093333333333,194.07333333333332,2.7066666666666666,193.90666666666667,206.45486666666667,245.75953333333334
236.66343333333333,241.53979999999999,97.22603333333333,96.71486666666667,194.14666666666668,2.7133333333333334,194.01333333333332,206.63473333333334,245.76856666666666
236.6894,241.5512,97.2338,96.7188,194.22,2.7199999999999998,194.12,206.8146,245.7776
236.71536666666668,241.5626,97.24156666666666,96.72273333333334,194.29333333333332,2.7266666666666666,194.22666666666666,206.99446666666668,245.78663333333333
236.74133333333333,241.57399999999998,97.24933333333333,96.72666666666667,194.36666666666667,2.7333333333333334,194.33333333333334,207.17433333333335,245.79566666666668
236.7673,241.5854,97.2571,96.73060000000001,194.44,2.7399999999999998,194.44,207.35420000000002,245.8047
236.79326666666668,241.5968,97.26486666666666,96.73453333333333,194.51333333333332,2.7466666666666666,194.54666666666668,207.5340666666667,245.81373333333335
236.81923333333333,241.60819999999998,97.27263333333333,96.73846666666667,194.58666666666667,2.7533333333333334,194.65333333333334,207.71393333333333,245.82276666666667
236.8452,241.6196,97.2804,96.7424,194.66,2.76,194.76,207.8938,245.8318
236.87116666666668,241.631,97.28816666666667,96.74633333333334,194.73333333333332,2.7666666666666666,194.86666666666667,208.07366666666667,245.84083333333334
236.89713333333333,241.64239999999998,97.29593333333334,96.75026666666668,194.80666666666667,2.773333333333333,194.97333333333333,208.25353333333334,245.84986666666666
236.9231,241.6538,97.30369999999999,96.7542,194.88,2.78,195.08,208.4334,245.8589
236.94906666666668,241.6652,97.31146666666666,96.75813333333333,194.95333333333332,2.7866666666666666,195.18666666666667,208.61326666666668,245.86793333333333
236.97503333333333,241.67659999999998,97.31923333333333,96.76206666666667,195.02666666666667,2.793333333333333,195.29333333333335,208.79313333333334,245.87696666666668
237.001,241.688,97.327,96.766,195.1,2.8,195.4,208.973,245.886
237.02216129032257,241.70012903225805,97.33309677419355,96.76974193548388,195.13548387096773,2.7967741935483867,195.44516129032257,209.07112903225809,245.9061612903226
237.04332258064517,241.7122580645161,97.3391935483871,96.77348387096775,195.17096774193547,2.793548387096774,195.49032258064517,209.16925806451613,245.92632258064515
237.06448387096773,241.7243870967742,97.34529032258064,96.77722580645163,195.2064516129032,2.790322580645161,195.53548387096774,209.2673870967742,245.94648387096774
